127.0.0.1 - - [02/Aug/2018:22:03:40 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:03:41 +0530] "GET /spring-mvc-form/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:03:43 +0530] "GET /spring-mvc-form/users HTTP/1.1" 200 3738
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:03:44 +0530] "GET /spring-mvc-form/resources/core/css/bootstrap.min.css;jsessionid=F601F28760B73398A6FE86BCEF675B98 HTTP/1.1" 200 117309
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:03:44 +0530] "GET /spring-mvc-form/resources/core/css/hello.css;jsessionid=F601F28760B73398A6FE86BCEF675B98 HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:03:44 +0530] "GET /spring-mvc-form/resources/core/js/hello.js;jsessionid=F601F28760B73398A6FE86BCEF675B98 HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:03:44 +0530] "GET /spring-mvc-form/resources/core/js/bootstrap.min.js;jsessionid=F601F28760B73398A6FE86BCEF675B98 HTTP/1.1" 200 35957
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:04:18 +0530] "GET /spring-mvc-form/users/100;jsessionid=F601F28760B73398A6FE86BCEF675B98 HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:04:18 +0530] "GET /spring-mvc-form/resources/core/css/bootstrap.min.css HTTP/1.1" 200 117309
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:04:18 +0530] "GET /spring-mvc-form/resources/core/css/hello.css HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:04:18 +0530] "GET /spring-mvc-form/resources/core/js/hello.js HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:04:18 +0530] "GET /spring-mvc-form/resources/core/js/bootstrap.min.js HTTP/1.1" 200 35957
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:04:29 +0530] "GET /spring-mvc-form/users/100;jsessionid=F601F28760B73398A6FE86BCEF675B98 HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:04:29 +0530] "GET /spring-mvc-form/resources/core/css/hello.css;jsessionid=F601F28760B73398A6FE86BCEF675B98 HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:04:29 +0530] "GET /spring-mvc-form/resources/core/css/bootstrap.min.css;jsessionid=F601F28760B73398A6FE86BCEF675B98 HTTP/1.1" 200 117309
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:04:29 +0530] "GET /spring-mvc-form/resources/core/js/hello.js;jsessionid=F601F28760B73398A6FE86BCEF675B98 HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:04:29 +0530] "GET /spring-mvc-form/resources/core/js/bootstrap.min.js;jsessionid=F601F28760B73398A6FE86BCEF675B98 HTTP/1.1" 200 35957
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:04:41 +0530] "GET /spring-mvc-form/users/ HTTP/1.1" 200 3738
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:04:41 +0530] "GET /spring-mvc-form/resources/core/css/hello.css;jsessionid=CB27E74074CF4C1FE93F4E35CB82867D HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [02/Aug/2018:22:04:41 +0530] "GET /spring-mvc-form/resources/core/js/hello.js;jsessionid=CB27E74074CF4C1FE93F4E35CB82867D HTTP/1.1" 200 559
